Bedrooms,Bathrooms,SquareFootageHouse,Location,Age,PoolQuality,HasPhotovoltaics,HeatingType,HasFiberglass,IsFurnished,DateSinceForSale,HouseColor,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,Price,WindowMaterial
1.0,2.0,127.0,2.0,69.0,1.0,False,0,1,1,2023-09-25,Yellow,False,1,1,1,1,16.0,1.33,76.2433844660978,346.57594,1
3.0,3.0,129.0,2.0,65.0,1.0,True,2,0,0,2022-09-22,Gray,False,0,1,2,0,16.0,1.52,206.60981090279535,429.91007,2
1.0,2.0,99.0,1.0,43.0,2.0,False,0,1,1,2022-05-01,White,False,1,1,2,0,46.0,2.49,59.4,243.80271,0
2.0,2.0,126.0,2.0,35.0,-1.0,False,2,0,0,2020-12-10,White,False,1,1,1,1,6.0,1.44,201.6,378.22772,2
1.0,1.0,45.0,0.0,47.0,2.0,False,2,0,1,2021-06-23,Yellow,False,1,2,2,1,46.0,4.63,72.0,121.05968,0
1.0,1.0,23.0,0.0,13.0,-1.0,False,2,0,1,2020-09-10,Green,False,1,1,2,2,6.0,2.47,36.52416589425993,108.5784,2
2.0,2.0,95.0,1.0,47.0,-1.0,True,2,1,0,2023-12-27,Gray,False,2,1,1,2,6.0,1.91,152.0,217.37796,1
2.0,2.0,96.0,2.0,58.0,1.0,False,1,0,0,2023-06-06,Yellow,False,1,2,0,1,16.0,3.91,97.0,215.25902,0
1.0,1.0,91.0,0.0,38.0,2.0,True,0,0,0,2020-12-24,Green,False,1,1,0,2,46.0,1.66,52.8,155.24395,2
1.0,1.0,28.0,2.0,66.0,1.0,False,1,0,1,2021-12-11,Gray,False,1,2,1,1,16.0,2.29,28.0,202.40956,1
1.0,1.0,49.0,1.0,50.0,1.0,True,0,1,1,2022-01-23,White,False,0,1,0,1,16.0,2.34,30.6,107.6489,0
3.0,2.0,143.0,1.0,32.0,1.0,False,2,0,1,2021-06-14,Yellow,True,2,1,0,0,16.0,4.53,232.0,342.18513,1
2.0,3.0,108.0,2.0,47.0,1.0,False,1,1,1,2021-09-01,White,False,0,1,0,2,16.0,2.24,106.0,339.70145,1
2.0,2.0,134.0,0.0,43.0,-1.0,False,2,0,0,2021-05-19,Gray,False,1,1,0,0,6.0,2.95,214.4,114.95402,0
1.0,1.0,83.0,0.0,61.0,1.0,True,0,0,1,2023-07-28,White,False,2,2,0,1,16.0,3.18,51.16255501798819,149.80814,2
3.0,3.0,102.0,1.0,43.0,-1.0,False,2,0,1,2023-04-07,Green,False,1,1,2,0,6.0,2.91,160.0,258.41631,1
4.0,1.0,145.0,1.0,45.0,-1.0,True,0,0,1,2022-11-06,White,False,0,1,0,2,6.0,3.42,88.2,282.32557,2
1.0,1.0,87.0,2.0,47.0,-1.0,False,0,1,0,2023-04-26,Gray,False,0,2,0,1,6.0,1.43,51.6,186.03936,1
1.0,2.0,83.0,0.0,38.0,0.0,False,2,0,0,2021-09-12,Gray,False,1,1,1,1,14.0,2.65,132.7990592953177,141.41595,2
4.0,3.0,141.0,1.0,47.0,-1.0,False,2,1,1,2023-05-02,Yellow,False,2,2,1,1,6.0,4.61,230.4,299.86176,0
2.0,2.0,64.0,2.0,69.0,0.0,False,0,0,1,2022-12-19,Yellow,False,1,1,2,2,14.0,2.34,40.332196847213595,324.69779,2
2.0,1.0,69.0,1.0,44.0,-1.0,False,1,0,1,2023-09-29,Yellow,False,1,0,2,2,6.0,2.14,69.56704984126021,127.65216,0
1.0,1.0,47.0,2.0,40.0,-1.0,False,0,1,0,2023-04-22,Green,False,1,2,2,1,6.0,2.42,30.641876378625795,119.14781,0
2.0,2.0,98.0,1.0,43.0,-1.0,False,2,0,0,2023-09-23,Yellow,False,1,1,2,1,6.0,4.3,156.8,257.16476,2
2.0,5.0,138.0,2.0,47.0,-1.0,True,0,0,1,2023-12-29,Gray,False,1,1,1,0,6.0,2.55,83.4,257.40436,0
1.0,1.0,61.0,2.0,47.0,1.0,False,2,1,0,2021-02-16,Gray,False,1,0,0,1,16.0,3.65,97.49826504826319,220.08495,1
1.0,1.0,83.0,0.0,65.0,0.0,False,1,0,1,2021-09-20,Green,False,1,0,1,1,14.0,2.2,83.0,141.99963,2
1.0,2.0,86.0,1.0,24.0,-1.0,False,0,1,0,2021-03-09,Yellow,False,0,0,1,2,6.0,2.14,52.2,146.47819,1
2.0,2.0,106.0,1.0,63.0,-1.0,True,0,0,1,2023-09-11,Yellow,False,0,2,2,2,6.0,3.81,63.0,149.38014,0
2.0,2.0,102.0,2.0,47.0,1.0,False,1,0,1,2023-11-16,White,False,0,1,1,2,16.0,1.38,102.1422283380082,263.51077,0
1.0,2.0,61.0,2.0,52.0,2.0,False,0,1,1,2021-11-29,Yellow,False,1,1,1,1,46.0,3.04,36.6,357.01552,1
1.0,1.0,143.0,0.0,10.0,1.0,True,2,1,1,2022-12-08,Gray,False,2,2,1,1,16.0,4.14,229.07395269637547,256.29449,2
2.0,3.0,124.0,2.0,37.0,0.0,False,0,0,1,2023-07-08,Yellow,False,2,0,1,2,14.0,4.52,75.0,273.71422,0
1.0,1.0,46.0,2.0,47.0,1.0,False,1,0,1,2024-02-15,Green,False,2,1,2,2,16.0,2.39,44.0,340.31024,2
1.0,1.0,57.0,2.0,44.0,-1.0,False,2,1,1,2022-10-08,Yellow,False,1,1,1,1,6.0,4.02,89.6,254.1963,1
2.0,1.0,95.0,0.0,36.0,-1.0,False,2,0,1,2024-03-25,White,False,1,0,1,1,6.0,3.33,152.05403797552927,142.68712,1
2.0,2.0,134.0,0.0,47.0,0.0,True,0,0,0,2020-02-06,White,False,0,0,1,0,14.0,2.43,80.4,99.4823,1
1.0,2.0,88.0,0.0,50.0,1.0,False,0,0,1,2020-02-27,Green,False,1,0,1,1,16.0,2.71,52.8,79.88437,0
1.0,1.0,37.0,2.0,51.0,-1.0,False,0,1,0,2023-09-07,Yellow,False,2,2,2,0,6.0,2.38,21.0,166.2655,1
2.0,2.0,90.0,0.0,17.0,0.0,True,2,0,1,2022-04-04,Gray,False,0,2,1,2,14.0,1.25,144.03113019210778,188.05449,2
1.0,1.0,120.0,0.0,42.0,-1.0,False,2,0,0,2021-03-10,Gray,False,1,2,1,1,6.0,2.96,193.6,156.90169,2
2.0,2.0,61.0,1.0,67.0,-1.0,False,2,1,1,2020-04-06,White,False,0,1,2,1,6.0,1.65,99.2,132.4717,0
1.0,1.0,96.0,2.0,63.0,1.0,False,2,1,0,2022-10-23,White,False,1,0,1,2,16.0,1.85,153.65861953221355,257.99568,0
1.0,2.0,94.0,2.0,30.0,-1.0,True,1,0,1,2022-01-07,White,False,1,1,1,1,6.0,1.8,94.2452153690996,205.17058,0
1.0,1.0,83.0,1.0,63.0,2.0,False,0,1,1,2023-04-05,Gray,False,1,1,0,1,46.0,1.7,49.8,323.33082,2
1.0,1.0,86.0,2.0,52.0,-1.0,True,0,0,1,2022-12-12,Green,False,0,0,0,1,6.0,3.4,52.87261157126839,277.9167,2
2.0,1.0,88.0,2.0,47.0,-1.0,True,0,0,0,2024-03-27,Gray,False,0,2,0,2,6.0,2.5,54.012649273455196,132.00758,0
1.0,1.0,42.0,0.0,47.0,0.0,False,0,1,0,2020-04-15,Yellow,False,1,1,0,1,14.0,3.79,27.791782123158796,90.54936,2
1.0,1.0,20.0,1.0,45.0,1.0,False,2,0,1,2023-04-10,White,False,1,1,2,1,16.0,3.85,31.71042122420704,158.23189,1
1.0,1.0,55.0,1.0,47.0,-1.0,False,0,1,0,2022-07-29,Green,False,2,0,0,1,6.0,2.94,35.20202718737299,62.24981,0
1.0,1.0,82.0,2.0,50.0,1.0,True,1,1,1,2020-08-20,Green,False,1,2,0,1,16.0,2.83,80.0,364.93799,2
1.0,2.0,121.0,0.0,67.0,0.0,False,0,0,1,2022-08-18,White,False,1,1,1,2,14.0,3.01,72.82327135953739,133.82188,1
2.0,2.0,132.0,1.0,47.0,-1.0,False,1,0,0,2024-03-12,Gray,False,1,2,2,0,6.0,1.63,131.75602697141545,164.47945,0
2.0,5.0,142.0,1.0,46.0,-1.0,True,1,1,0,2024-02-20,Green,False,2,2,0,2,6.0,1.69,141.0,299.01165,2
2.0,2.0,70.0,1.0,46.0,-1.0,False,0,0,1,2022-06-08,White,False,0,0,1,0,6.0,3.34,43.752309953773995,192.13082,2
1.0,1.0,49.0,0.0,63.0,0.0,True,1,0,1,2020-10-29,Green,False,1,2,0,1,14.0,2.53,49.824517418988705,118.94339,2
1.0,1.0,75.0,0.0,54.0,-1.0,False,1,0,1,2021-05-26,Green,False,2,0,1,1,6.0,2.42,75.48980956794166,68.22623,0
1.0,1.0,67.0,1.0,48.0,-1.0,False,2,0,1,2023-11-18,Yellow,False,1,1,1,0,6.0,1.52,105.6,236.47554,2
2.0,3.0,111.0,0.0,43.0,2.0,False,2,0,1,2022-10-28,Gray,False,1,1,2,1,46.0,2.58,179.2,258.63502,2
1.0,3.0,111.0,1.0,39.0,-1.0,False,0,0,1,2021-12-06,White,False,0,0,1,1,6.0,3.17,66.6,235.31797,2
1.0,1.0,26.0,1.0,52.0,-1.0,False,0,0,0,2022-01-05,White,False,1,1,1,0,6.0,3.35,18.671480505664398,126.47319,2
1.0,1.0,97.0,0.0,18.0,-1.0,False,1,0,1,2020-01-31,Green,False,1,1,1,2,6.0,2.11,97.20659523244032,89.34756,0
1.0,1.0,61.0,2.0,50.0,-1.0,False,1,0,0,2020-08-09,Yellow,False,1,2,2,0,6.0,3.71,59.0,117.13648,0
1.0,2.0,139.0,2.0,37.0,-1.0,False,1,1,1,2022-05-24,Gray,False,2,2,1,0,6.0,2.45,140.0,449.08449,2
2.0,3.0,102.0,0.0,24.0,-1.0,False,1,0,1,2023-06-24,White,False,2,0,1,1,6.0,3.12,102.1422283380082,135.0304,1
2.0,2.0,95.0,1.0,38.0,-1.0,True,2,0,0,2024-01-19,White,False,1,2,2,0,6.0,1.88,152.05403797552927,167.73093,0
1.0,1.0,97.0,1.0,43.0,-1.0,True,0,0,1,2023-12-30,White,False,1,1,1,1,6.0,3.4,59.14281893329579,129.50189,0
1.0,1.0,58.0,2.0,35.0,-1.0,False,2,0,1,2023-11-29,Gray,False,0,0,1,2,6.0,1.45,92.6845203782103,316.54506,2
1.0,1.0,41.0,1.0,70.0,-1.0,True,0,0,1,2023-08-20,White,False,2,0,1,1,6.0,3.15,27.2217632720654,173.23775,2
2.0,1.0,71.0,1.0,13.0,-1.0,True,0,1,0,2023-12-02,Gray,False,0,1,1,1,6.0,2.85,44.3223288048674,146.63691,1
3.0,1.0,116.0,1.0,2.0,-1.0,True,2,1,1,2024-01-27,Gray,False,1,0,0,2,6.0,2.59,184.0,229.05636,0
2.0,2.0,90.0,2.0,20.0,-1.0,False,2,1,1,2023-07-14,Green,False,1,0,1,2,6.0,2.72,145.6,432.61927,2
1.0,2.0,98.0,2.0,47.0,-1.0,False,1,0,0,2020-03-27,Green,False,0,2,2,1,6.0,3.39,98.1937218535539,221.86337,1
1.0,1.0,59.0,1.0,57.0,1.0,False,1,0,0,2022-06-30,Yellow,False,1,1,1,0,16.0,4.2,59.69578363012446,101.6956,0
1.0,1.0,76.0,0.0,44.0,1.0,False,2,0,1,2022-10-07,Yellow,False,2,1,1,1,16.0,4.14,123.2,111.35587,0
2.0,2.0,116.0,0.0,33.0,1.0,False,2,0,1,2022-01-30,Green,False,1,2,1,2,16.0,2.77,185.6,182.82843,1
2.0,1.0,144.0,0.0,25.0,-1.0,False,1,0,0,2020-01-17,White,False,2,1,1,1,6.0,3.48,143.60154642477835,100.83972,0
