Bedrooms,Bathrooms,SquareFootageHouse,Location,Age,PoolQuality,HasPhotovoltaics,HeatingType,HasFiberglass,IsFurnished,HouseColor,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,Price,WindowMaterial
1.0,2.0,127.0,2.0,69.0,1.0,False,0,1,1,Yellow,False,1,1,1,1,16.0,1.33,76.24338446609778,346.57594,1
3.0,3.0,129.0,2.0,65.0,1.0,True,2,0,0,Gray,False,0,1,2,0,16.0,1.52,206.6098109027954,429.91007,2
1.0,2.0,99.0,1.0,43.0,2.0,False,0,1,1,White,False,1,1,2,0,46.0,2.49,59.4,243.80271,0
2.0,2.4087274747928213,126.0,2.0,35.0,-1.0,False,2,0,0,White,False,1,1,1,1,6.0,1.44,201.6,378.22772,2
1.0,1.0297098439080532,45.0,0.0,47.0,2.0,False,2,0,1,Yellow,False,1,2,2,1,46.0,4.63,72.0,121.05968,0
1.0,1.0,23.0,0.0,13.0,-1.0,False,2,0,1,Green,False,1,1,2,2,6.0,2.47,36.52416589425987,108.5784,2
2.0,1.9064815423756478,95.0,1.0,47.0,-1.0,True,2,1,0,Gray,False,2,1,1,2,6.0,1.91,152.0,217.37796,1
2.0,2.0,96.0,2.0,58.0,1.0,False,1,0,0,Yellow,False,1,2,0,1,16.0,3.91,97.0,215.25902,0
1.0,1.0,91.0,0.0,38.0,2.0,True,0,0,0,Green,False,1,1,0,2,46.0,1.66,52.8,155.24395,2
1.0,0.7543250326601932,28.0,2.0,66.0,1.0,False,1,0,1,Gray,False,1,2,1,1,16.0,2.29,28.0,202.40956,1
1.0,1.0,49.0,1.0,50.0,1.0,True,0,1,1,White,False,0,1,0,1,16.0,2.34,30.6,107.6489,0
3.0,2.750842586509672,143.0,1.0,32.0,1.0,False,2,0,1,Yellow,True,2,1,0,0,16.0,4.53,232.0,342.18513,1
2.0,3.0,108.0,2.0,47.0,1.0,False,1,1,1,White,False,0,1,0,2,16.0,2.24,106.0,339.70145,1
2.0,2.5383393283198337,134.0,0.0,43.0,-1.0,False,2,0,0,Gray,False,1,1,0,0,6.0,2.95,214.4,114.95402,0
1.0,1.6455623574288183,83.0,0.0,61.0,1.0,True,0,0,1,White,False,2,2,0,1,16.0,3.18,51.16255501798819,149.80814,2
3.0,3.0,102.0,1.0,43.0,-1.0,False,2,0,1,Green,False,1,1,2,0,6.0,2.91,160.0,258.41631,1
4.0,1.0,145.0,1.0,45.0,-1.0,True,0,0,1,White,False,0,1,0,2,6.0,3.42,88.2,282.32557,2
