Bedrooms,Bathrooms,SquareFootageHouse,Location,Age,PoolQuality,HasPhotovoltaics,HeatingType,HasFiberglass,IsFurnished,HouseColor,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,Price,WindowMaterial
1.0,2.0,127.0,Rural,69.0,Good,False,Electric,True,True,Yellow,False,Good,Good,Good,Good,16.0,1.33,76.24338446609778,346.57594,Wood
3.0,3.0,129.0,Rural,65.0,Good,True,Oil,False,False,Gray,False,Poor,Good,Excellent,Poor,16.0,1.52,206.6098109027954,429.91007,Steel
1.0,2.0,99.0,Urban,43.0,Excellent,False,Electric,True,True,White,False,Good,Good,Excellent,Poor,46.0,2.49,59.4,243.80271,Aluminum
2.0,2.0,126.0,Rural,35.0,NoPool,False,Oil,False,False,White,False,Good,Good,Good,Good,6.0,1.44,201.6,378.22772,Steel
1.0,1.0,45.0,Suburban,47.0,Excellent,False,Oil,False,True,Yellow,False,Good,Excellent,Excellent,Good,46.0,4.63,72.0,121.05968,Aluminum
1.0,1.0,23.0,Suburban,13.0,NoPool,False,Oil,False,True,Green,False,Good,Good,Excellent,Excellent,6.0,2.47,36.52416589425987,108.5784,Steel
2.0,2.0,95.0,Urban,47.0,NoPool,True,Oil,True,False,Gray,False,Excellent,Good,Good,Excellent,6.0,1.91,152.0,217.37796,Wood
2.0,2.0,96.0,Rural,58.0,Good,False,Gas,False,False,Yellow,False,Good,Excellent,Poor,Good,16.0,3.91,97.0,215.25902,Aluminum
1.0,1.0,91.0,Suburban,38.0,Excellent,True,Electric,False,False,Green,False,Good,Good,Poor,Excellent,46.0,1.66,52.8,155.24395,Steel
1.0,1.0,28.0,Rural,66.0,Good,False,Gas,False,True,Gray,False,Good,Excellent,Good,Good,16.0,2.29,28.0,202.40956,Wood
1.0,1.0,49.0,Urban,50.0,Good,True,Electric,True,True,White,False,Poor,Good,Poor,Good,16.0,2.34,30.6,107.6489,Aluminum
3.0,2.0,143.0,Urban,32.0,Good,False,Oil,False,True,Yellow,True,Excellent,Good,Poor,Poor,16.0,4.53,232.0,342.18513,Wood
2.0,3.0,108.0,Rural,47.0,Good,False,Gas,True,True,White,False,Poor,Good,Poor,Excellent,16.0,2.24,106.0,339.70145,Wood
2.0,2.0,134.0,Suburban,43.0,NoPool,False,Oil,False,False,Gray,False,Good,Good,Poor,Poor,6.0,2.95,214.4,114.95402,Aluminum
1.0,1.0,83.0,Suburban,61.0,Good,True,Electric,False,True,White,False,Excellent,Excellent,Poor,Good,16.0,3.18,51.16255501798819,149.80814,Steel
3.0,3.0,102.0,Urban,43.0,NoPool,False,Oil,False,True,Green,False,Good,Good,Excellent,Poor,6.0,2.91,160.0,258.41631,Wood
4.0,1.0,145.0,Urban,45.0,NoPool,True,Electric,False,True,White,False,Poor,Good,Poor,Excellent,6.0,3.42,88.2,282.32557,Steel
1.0,1.0,87.0,Rural,47.0,NoPool,False,Electric,True,False,Gray,False,Poor,Excellent,Poor,Good,6.0,1.43,51.6,186.03936,Wood
1.0,2.0,83.0,Suburban,38.0,Poor,False,Oil,False,False,Gray,False,Good,Good,Good,Good,14.0,2.65,132.7990592953177,141.41595,Steel
4.0,3.0,141.0,Urban,47.0,NoPool,False,Oil,True,True,Yellow,False,Excellent,Excellent,Good,Good,6.0,4.61,230.4,299.86176,Aluminum
2.0,2.0,64.0,Rural,69.0,Poor,False,Electric,False,True,Yellow,False,Good,Good,Excellent,Excellent,14.0,2.34,40.332196847213595,324.69779,Steel
2.0,1.0,69.0,Urban,44.0,NoPool,False,Gas,False,True,Yellow,False,Good,Poor,Excellent,Excellent,6.0,2.14,69.5670498412602,127.65216,Aluminum
1.0,1.0,47.0,Rural,40.0,NoPool,False,Electric,True,False,Green,False,Good,Excellent,Excellent,Good,6.0,2.42,30.6418763786258,119.14781,Aluminum
2.0,2.0,98.0,Urban,43.0,NoPool,False,Oil,False,False,Yellow,False,Good,Good,Excellent,Good,6.0,4.3,156.8,257.16476,Steel
2.0,5.0,138.0,Rural,47.0,NoPool,True,Electric,False,True,Gray,False,Good,Good,Good,Poor,6.0,2.55,83.4,257.40436,Aluminum
1.0,1.0,61.0,Rural,47.0,Good,False,Oil,True,False,Gray,False,Good,Poor,Poor,Good,16.0,3.65,97.49826504826316,220.08495,Wood
1.0,1.0,83.0,Suburban,65.0,Poor,False,Gas,False,True,Green,False,Good,Poor,Good,Good,14.0,2.2,83.0,141.99963,Steel
1.0,2.0,86.0,Urban,24.0,NoPool,False,Electric,True,False,Yellow,False,Poor,Poor,Good,Excellent,6.0,2.14,52.2,146.47819,Wood
2.0,2.0,106.0,Urban,63.0,NoPool,True,Electric,False,True,Yellow,False,Poor,Excellent,Excellent,Excellent,6.0,3.81,63.0,149.38014,Aluminum
2.0,2.0,102.0,Rural,47.0,Good,False,Gas,False,True,White,False,Poor,Good,Good,Excellent,16.0,1.38,102.1422283380082,263.51077,Aluminum
1.0,2.0,61.0,Rural,52.0,Excellent,False,Electric,True,True,Yellow,False,Good,Good,Good,Good,46.0,3.04,36.6,357.01552,Wood
1.0,1.0,143.0,Suburban,10.0,Good,True,Oil,True,True,Gray,False,Excellent,Excellent,Good,Good,16.0,4.14,229.07395269637556,256.29449,Steel
2.0,3.0,124.0,Rural,37.0,Poor,False,Electric,False,True,Yellow,False,Excellent,Poor,Good,Excellent,14.0,4.52,75.0,273.71422,Aluminum
1.0,1.0,46.0,Rural,47.0,Good,False,Gas,False,True,Green,False,Excellent,Good,Excellent,Excellent,16.0,2.39,44.0,340.31024,Steel
1.0,1.0,57.0,Rural,44.0,NoPool,False,Oil,True,True,Yellow,False,Good,Good,Good,Good,6.0,4.02,89.6,254.1963,Wood
2.0,1.0,95.0,Suburban,36.0,NoPool,False,Oil,False,True,White,False,Good,Poor,Good,Good,6.0,3.33,152.05403797552927,142.68712,Wood
2.0,2.0,134.0,Suburban,47.0,Poor,True,Electric,False,False,White,False,Poor,Poor,Good,Poor,14.0,2.43,80.4,99.4823,Wood
1.0,2.0,88.0,Suburban,50.0,Good,False,Electric,False,True,Green,False,Good,Poor,Good,Good,16.0,2.71,52.8,79.88437,Aluminum
1.0,1.0,37.0,Rural,51.0,NoPool,False,Electric,True,False,Yellow,False,Excellent,Excellent,Excellent,Poor,6.0,2.38,21.0,166.2655,Wood
2.0,2.0,90.0,Suburban,17.0,Poor,True,Oil,False,True,Gray,False,Poor,Excellent,Good,Excellent,14.0,1.25,144.03113019210778,188.05449,Steel
1.0,1.0,120.0,Suburban,42.0,NoPool,False,Oil,False,False,Gray,False,Good,Excellent,Good,Good,6.0,2.96,193.6,156.90169,Steel
2.0,2.0,61.0,Urban,67.0,NoPool,False,Oil,True,True,White,False,Poor,Good,Excellent,Good,6.0,1.65,99.2,132.4717,Aluminum
1.0,1.0,96.0,Rural,63.0,Good,False,Oil,True,False,White,False,Good,Poor,Good,Excellent,16.0,1.85,153.65861953221358,257.99568,Aluminum
1.0,2.0,94.0,Rural,30.0,NoPool,True,Gas,False,True,White,False,Good,Good,Good,Good,6.0,1.8,94.24521536909958,205.17058,Aluminum
1.0,1.0,83.0,Urban,63.0,Excellent,False,Electric,True,True,Gray,False,Good,Good,Poor,Good,46.0,1.7,49.8,323.33082,Steel
1.0,1.0,86.0,Rural,52.0,NoPool,True,Electric,False,True,Green,False,Poor,Poor,Poor,Good,6.0,3.4,52.87261157126839,277.9167,Steel
2.0,1.0,88.0,Rural,47.0,NoPool,True,Electric,False,False,Gray,False,Poor,Excellent,Poor,Excellent,6.0,2.5,54.01264927345519,132.00758,Aluminum
1.0,1.0,42.0,Suburban,47.0,Poor,False,Electric,True,False,Yellow,False,Good,Good,Poor,Good,14.0,3.79,27.7917821231588,90.54936,Steel
1.0,1.0,20.0,Urban,45.0,Good,False,Oil,False,True,White,False,Good,Good,Excellent,Good,16.0,3.85,31.710421224206982,158.23189,Wood
1.0,1.0,55.0,Urban,47.0,NoPool,False,Electric,True,False,Green,False,Excellent,Poor,Poor,Good,6.0,2.94,35.202027187373,62.24981,Aluminum
1.0,1.0,82.0,Rural,50.0,Good,True,Gas,True,True,Green,False,Good,Excellent,Poor,Good,16.0,2.83,80.0,364.93799,Steel
1.0,2.0,121.0,Suburban,67.0,Poor,False,Electric,False,True,White,False,Good,Good,Good,Excellent,14.0,3.01,72.82327135953739,133.82188,Wood
2.0,2.0,132.0,Urban,47.0,NoPool,False,Gas,False,False,Gray,False,Good,Excellent,Excellent,Poor,6.0,1.63,131.75602697141545,164.47945,Aluminum
2.0,5.0,142.0,Urban,46.0,NoPool,True,Gas,True,False,Green,False,Excellent,Excellent,Poor,Excellent,6.0,1.69,141.0,299.01165,Steel
2.0,2.0,70.0,Urban,46.0,NoPool,False,Electric,False,True,White,False,Poor,Poor,Good,Poor,6.0,3.34,43.752309953773995,192.13082,Steel
1.0,1.0,49.0,Suburban,63.0,Poor,True,Gas,False,True,Green,False,Good,Excellent,Poor,Good,14.0,2.53,49.824517418988684,118.94339,Steel
1.0,1.0,75.0,Suburban,54.0,NoPool,False,Gas,False,True,Green,False,Excellent,Poor,Good,Good,6.0,2.42,75.48980956794165,68.22623,Aluminum
1.0,1.0,67.0,Urban,48.0,NoPool,False,Oil,False,True,Yellow,False,Good,Good,Good,Poor,6.0,1.52,105.6,236.47554,Steel
2.0,3.0,111.0,Suburban,43.0,Excellent,False,Oil,False,True,Gray,False,Good,Good,Excellent,Good,46.0,2.58,179.2,258.63502,Steel
1.0,3.0,111.0,Urban,39.0,NoPool,False,Electric,False,True,White,False,Poor,Poor,Good,Good,6.0,3.17,66.6,235.31797,Steel
1.0,1.0,26.0,Urban,52.0,NoPool,False,Electric,False,False,White,False,Good,Good,Good,Poor,6.0,3.35,18.671480505664405,126.47319,Steel
1.0,1.0,97.0,Suburban,18.0,NoPool,False,Gas,False,True,Green,False,Good,Good,Good,Excellent,6.0,2.11,97.2065952324403,89.34756,Aluminum
1.0,1.0,61.0,Rural,50.0,NoPool,False,Gas,False,False,Yellow,False,Good,Excellent,Excellent,Poor,6.0,3.71,59.0,117.13648,Aluminum
1.0,2.0,139.0,Rural,37.0,NoPool,False,Gas,True,True,Gray,False,Excellent,Excellent,Good,Poor,6.0,2.45,140.0,449.08449,Steel
2.0,3.0,102.0,Suburban,24.0,NoPool,False,Gas,False,True,White,False,Excellent,Poor,Good,Good,6.0,3.12,102.1422283380082,135.0304,Wood
